,ID,Sentence,Actual Aspect Terms,Actual Sentiment Terms,Actual Polarities,Generated Aspect Terms,Generated Sentiment Terms,Generated Polarities
13,821,Sushi wasn't anything spectacular for the price.,"['Sushi', 'price']","[[], []]","['neutral', 'negative']",['anything'],[['spectacular']],[None]
14,1685,They had scrapped the bottom of the vessel in which they make the rice -RESULT - WE HAD LARGE CHUNKS OF BURNT RICE IN OUR SERVING BOWL.,"['rice', 'RICE']","[[], []]","['negative', 'negative']","['vessel bottom', 'rice RESULT', 'CHUNKS', 'SERVING BOWL']","[['scrapped'], ['make'], ['LARGE', 'HAD'], []]","[None, None, None, None]"
15,1545,"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.","['decor', 'place']","[[], []]","['positive', 'positive']","['place decor', 'place kind']","[['diner-ish'], []]","[None, None]"
16,611,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!","['neighborhood', 'food']","[[], []]","['positive', 'positive']","['lonk reviewer', 'neighborhood', 'food']","[['previous', 'dined'], ['great', 'has'], ['great', 'has']]","[None, None, None]"
17,685,I have never better enjoyed humble root vegetables or a mushroom consomme - and this chef accomplishes without fats.,"['root vegetables', 'mushroom consomme', 'chef']","[[], [], []]","['positive', 'positive', 'positive']","['vegetables', 'mushroom consomme', 'chef']","[['humble', 'enjoyed'], [], ['accomplishes']]","[None, None, None]"
18,1839,Frites were delicious if a bit on the thick side.,['Frites'],[[]],['positive'],"['Frites', 'side bit']","[['delicious'], ['thick']]","[None, None]"
19,644,I have never before eaten 40 pieces of relatively good nigiri.,['nigiri'],[[]],['neutral'],"['pieces', 'nigiri']","[['eaten'], ['good']]","[None, None]"
20,841,"Only wine and beer are served, but the house varities are actually quite good.","['wine', 'beer', 'house varities', 'served']","[[], [], [], []]","['neutral', 'neutral', 'positive', 'negative']","['beer wine', 'varities']","[[], ['good']]","[None, None]"
21,489,"Very excited to hear that short-term Chef Jason Narone has moved on, he truly was a low point of their Sterling track record.",['Chef'],[[]],['negative'],['term'],"[['short', 'hear']]",[None]
22,180,Very good service and very good prices.,"['service', 'prices']","[[], []]","['positive', 'positive']",['prices service'],"[['good', 'good']]",[None]
23,424,"Their calzones are horrific, bad, vomit-inducing, YUCK.",['calzones'],[[]],['negative'],['calzones'],[['horrific']],[None]
24,453,"The food is terrible and overall, I would have to say avoid at all costs.",['food'],[[]],['negative'],['food'],[['terrible']],[None]
25,1472,The portions are small but being that the food was so good makes up for that.,"['portions', 'food']","[[], []]","['negative', 'positive']","['portions', 'food']","[['small'], ['good']]","[None, None]"
26,1605,My husband and I enjoyed each of the 6 taste size portions and left completely full.,['portions'],[[]],['positive'],['husband'],[['enjoyed']],[None]
27,1359,Best Pastrami I ever had and great portion without being ridiculous.,"['Pastrami', 'portion']","[[], []]","['positive', 'positive']",['Pastrami'],[['Best']],[None]
28,387,I ordered the smoked salmon and roe appetizer and it was off flavor.,['smoked salmon and roe appetizer'],[[]],['negative'],"['salmon appetizer', 'roe appetizer']","[['smoked', 'ordered'], ['ordered']]","[None, None]"
29,368,Our server was very helpful and friendly.,['server'],[[]],['positive'],['server'],[['helpful']],[None]
30,1319,A bit breezy up there on the mezzanine from the wind coming from the tracks.,['mezzanine'],[[]],['negative'],"['bit', 'wind mezzanine']","[['breezy'], []]","[None, None]"
31,1823,The service was excellent and the food was delicious.,"['service', 'food']","[[], []]","['positive', 'positive']","['service', 'food']","[['excellent'], ['delicious']]","[None, None]"
32,1593,The food is delicious.,['food'],[[]],['positive'],['food'],[['delicious']],[None]
33,735,"For the location, the prices are very reasonable.","['prices', 'location']","[[], []]","['positive', 'neutral']",['prices'],[['reasonable']],[None]
34,1275,Prices too high for this cramped and unappealing resturant.,['Prices'],[[]],['negative'],['resturant'],[['cramped']],[None]
35,72,The strong scents coming from the left and right of me negatively affected my taste buds.,['scents'],[[]],['negative'],"['scents', 'left', 'buds']","[['strong', 'affected'], ['right'], ['affected']]","[None, None, None]"
36,641,The two star chefs left quite some time ago to open their own place.,['chefs'],[[]],['neutral'],"['chefs', 'place']","[['left'], ['own', 'open']]","[None, None]"
37,758,Awsome Pizza especially the Margheritta slice.,"['Pizza', 'Margheritta']","[[], []]","['positive', 'positive']",['slice Pizza'],[['Awsome']],[None]
38,1676,I recommend this spot to anyone who enjoys  fine cuisine at reasonable prices.,"['cuisine', 'prices']","[[], []]","['positive', 'positive']","['spot', 'cuisine', 'prices']","[['recommend'], ['fine', 'enjoys'], ['reasonable']]","[None, None, None]"
39,588,"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.","['meal', 'room', 'clubhouse']","[[], [], []]","['positive', 'neutral', 'negative']","['room', 'meal', 'clubhouse restaurant']","[['saw', 'full'], ['real', 'enjoying'], ['real']]","[None, None, None]"
40,1121,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.","['wine selection', 'Gigondas', 'house champagne', 'price']","[[], [], [], []]","['positive', 'positive', 'positive', 'neutral']","['wine selection', 'champagne', 'value selection']","[['Great'], ['great'], ['Great']]","[None, None, None]"
41,1596,Yeah Shanghai is also great but not quite as good -- they use the same amount of salt but without sweetness to balance out.,['salt'],[[]],['negative'],"['Shanghai', 'salt amount', 'sweetness amount']","[['great'], ['same', 'use'], ['same', 'use']]","[None, None, None]"
42,688,I always get the Shabu-Shabu dinner and the beef is always fresh.,"['Shabu-Shabu dinner', 'beef']","[[], []]","['neutral', 'positive']","['Shabu Shabu', 'Shabu dinner', 'beef']","[[], ['get'], ['fresh']]","[None, None, None]"
43,201,The food here does a great service to the name (Cantonese that is...).,"['food', 'Cantonese']","[[], []]","['positive', 'positive']","['food', 'service']","[['does'], ['great', 'does']]","[None, None]"
44,1884,We ate at this Thai place following the reviews but very unhappy with the foods.,['foods'],[[]],['negative'],['place'],[['Thai']],[None]
45,1332,Good food.,['food'],[[]],['positive'],['food'],[['Good']],[None]
46,1128,Cheese plate is a varied delight and great bargain at $10.,['Cheese plate'],[[]],['positive'],"['Cheese plate', 'bargain delight']","[[], ['great', 'varied']]","[None, None]"
47,1956,"Don't dine at Tamarind for the vegetarian dishes, they are simply not up to par with the non-veg selections.","['vegetarian dishes', 'non-veg selections']","[[], []]","['negative', 'positive']","['dishes', 'selections']","[['vegetarian'], ['non-veg']]","[None, None]"
48,595,"The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!",['svc'],[[]],['negative'],"['svc', 'group']","[['rude'], ['big', 'have']]","[None, None]"
49,1494,"Overall I was impressed and will return, it's a great QPR (Quality to Price Ratio).","['Price', 'Quality']","[[], []]","['positive', 'positive']","['QPR', 'Price Ratio', 'Ratio Quality']","[['great'], [], []]","[None, None, None]"
50,1671,The price very reasonable.,['price'],[[]],['positive'],['price'],[['reasonable']],[None]
51,1527,"You don't go to Mizu for excellent service, you go for the large amounts of food, the amiable atmosphere, and the hole-in-the-wall feeling of the place.","['service', 'food', 'atmosphere']","[[], [], []]","['negative', 'positive', 'positive']","['service', 'amounts', 'atmosphere food', 'hole feeling', 'wall hole', 'place feeling']","[['excellent'], ['large'], ['amiable'], [], [], []]","[None, None, None, None, None, None]"
52,658,THE FOOD PORTIONS ARE REALLY LARGE.,['FOOD PORTIONS'],[[]],['positive'],['PORTIONS'],[['LARGE']],[None]
53,1815,"Yeah, sometimes the service can be slow.",['service'],[[]],['negative'],['service'],[['slow']],[None]
54,2019,I can't believe people complain about no cheese sticks?,['cheese sticks'],[[]],['neutral'],['people'],[['complain']],[None]
55,117,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.","['pizza', 'fresh mozzarella', 'cheese']","[[], [], []]","['positive', 'positive', 'negative']","['pizza', 'mozzarella', 'cheese', ""pizzaria's""]","[['delicious'], ['fresh', 'use'], ['cheap', 'frozen', 'shredded'], ['most']]","[None, None, None, None]"
56,1678,"I love when restaurants think using fancy expensive ingrediants makes the food fine cuisine, even with no idea how to use them.","['ingrediants', 'cuisine', 'food']","[[], [], []]","['positive', 'positive', 'positive']","['restaurants', 'ingrediants', 'food', 'cuisine']","[['think'], ['fancy', 'expensive', 'using'], ['makes'], ['fine', 'makes']]","[None, None, None, None]"
57,1514,"So, the menu is written in chalk above your head and it all sounds delicious.",['menu'],[[]],['neutral'],[],[],[]
58,5,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,"['orrechiete with sausage and chicken', 'waiters', 'meats', 'dish']","[[], [], [], []]","['positive', 'positive', 'neutral', 'neutral']","['favorite', 'sausage orrechiete', 'chicken sausage', 'waiters', 'dish', 'meats']","[['agreed'], [], [], ['enough'], ['split'], ['sample']]","[None, None, None, None, None, None]"
59,956,LOVE the atmosphere - felt like I was in Paris.,['atmosphere'],[[]],['positive'],['atmosphere'],[['LOVE']],[None]
60,47,Wine list selection is good and wine-by-the-glass was generously filled to the top.,"['Wine list selection', 'wine-by-the-glass']","[[], []]","['positive', 'positive']","['Wine list', 'list selection']","[[], ['good']]","[None, None]"
61,331,"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.","['service', 'seating', 'Delivery', 'sushi']","[[], [], [], []]","['positive', 'positive', 'positive', 'positive']","['service', 'Fast']","[['Great', 'friendly'], ['Excellent']]","[None, None]"
62,566,Great for large groups and celebrations - our SUPER HAPPY waiter was the entertainment of the evening.,['waiter'],[[]],['positive'],"['groups', 'waiter', 'evening entertainment']","[['large'], ['HAPPY'], []]","[None, None, None]"
63,929,"The food is very good too but for the most part, it's just regular food, nothing special.","['food', 'food']","[[], []]","['positive', 'neutral']","['food', 'part', 'nothing']","[['good', 'regular'], ['most'], ['special']]","[None, None, None]"
64,789,We also had shared a house salad that was fresh.,['house salad'],[[]],['positive'],['house salad'],[['shared']],[None]
65,1389,The place is small and cramped but the food is fantastic.,"['place', 'food']","[[], []]","['negative', 'positive']","['place', 'food']","[['small'], ['fantastic']]","[None, None]"
66,877,The food was absolutely amazing!!,['food'],[[]],['positive'],['food'],[['amazing']],[None]
67,1616,"Took my mom for Mother's Day, and the maitre d' was pretty rude.","[""maitre d'""]",[[]],['negative'],"['mom', 'maitre']","[['Took'], ['rude']]","[None, None]"
68,515,"Behind this counter, two men are squeezed in.",['counter'],[[]],['negative'],[],[],[]
69,971,Its a go-to for dates as well as entertaining out of town guests.,['entertaining'],[[]],['positive'],['go'],[['entertaining']],[None]
70,1776,"I like the ambience, it's very dark and original.",['ambience'],[[]],['positive'],['ambience'],[['like']],[None]
71,480,"From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.","['beginning appetizers', 'scallops', 'chocolate souffle with rasberry mint sorbet', 'taste']","[[], [], [], []]","['positive', 'positive', 'positive', 'positive']","['appetizers', 'scallops', 'chocolate souffle', 'rasberry sorbet', 'sorbet souffle']","[['beginning'], ['incredible'], ['delicious'], ['mint'], ['mint', 'delicious']]","[None, None, None, None, None]"
72,195,"The food was pretty good, but a little flavorless and the portions very small, including dessert.","['food', 'dessert', 'portions']","[[], [], []]","['conflict', 'negative', 'negative']",['food'],[['good']],[None]
73,1947,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,"['setting', 'service']","[[], []]","['positive', 'positive']","['occasion', 'service setting']","[['special'], ['nice', 'intimate', 'provides']]","[None, None]"
74,796,"The entree was bland and small, dessert was not inspired.","['entree', 'dessert']","[[], []]","['negative', 'negative']",['entree'],[['bland']],[None]
75,1507,"Their bagels are fine, but they are a little overcooked, and not really a 'special' bagel experience.","['bagels', 'bagel']","[[], []]","['conflict', 'neutral']","['bagels', 'bagel experience']","[['fine'], ['special']]","[None, None]"
76,352,"We didn't even see a menu, as our waiter described both the specials and the main dishes.","['menu', 'main dishes', 'waiter', 'specials']","[[], [], [], []]","['neutral', 'neutral', 'positive', 'neutral']","['menu', 'waiter', 'specials', 'dishes']","[['see'], ['described'], ['described'], ['main']]","[None, None, None, None]"
77,825,The menu choices are similar but the taste lacked more flavor than it looked.,"['taste', 'menu choices', 'flavor']","[[], [], []]","['negative', 'neutral', 'negative']","['choices', 'taste', 'flavor']","[['similar'], ['lacked'], ['more', 'lacked']]","[None, None, None]"
78,1071,"Maybe I say so because it looked promising for people who like artery-clogging jewish deli food, but turns out to be poorly run and awful.",['jewish deli food'],[[]],['conflict'],['deli food'],"[['jewish', 'clogging']]",[None]
79,1800,They have a very diverse menu so its something for everybody.,['menu'],[[]],['positive'],"['menu', 'everybody something']","[['diverse', 'have'], []]","[None, None]"
80,1189,Cornelia Street looks like a Broadway set for West Side Story and the inside of Po is so cool quaint you really can't top the setting for a romantic dinner in NYC.,"['dinner', 'setting']","[[], []]","['positive', 'positive']","['inside', 'Street']","[['cool'], ['quaint']]","[None, None]"
81,876,Best dish is nori-wrapped tuna.,"['nori-wrapped tuna', 'dish']","[[], []]","['positive', 'positive']","['dish', 'tuna']","[['Best'], ['nori-wrapped']]","[None, None]"
82,329,The setting is casual and romantic.,['setting'],[[]],['positive'],['setting'],[['casual']],[None]
83,730,The food is great and they have a good selecion of wines at reasonable prices.,"['food', 'selecion of wines', 'prices']","[[], [], []]","['positive', 'positive', 'positive']","['food', 'selecion', 'prices']","[['great'], ['good', 'have'], ['reasonable']]","[None, None, None]"
84,528,"Oh, don't even let me start with how expensive the bills were!",['bills'],[[]],['negative'],['bills'],[['expensive']],[None]
85,1337,Food was good not great not worth the wait or another visit,"['Food', 'wait']","[[], []]","['conflict', 'negative']","['Food', 'visit wait']","[['good'], []]","[None, None]"
86,110,The pizza here is delicious.,['pizza'],[[]],['positive'],['pizza'],[['delicious']],[None]
87,807,The only problem is that the manager is a complete incompetent.,['manager'],[[]],['negative'],"['problem', 'manager']","[['only', 'is'], ['incompetent']]","[None, None]"
88,978,My steak au poivre was one of the worst I've had.,['steak au poivre'],[[]],['negative'],"['steak au', 'au poivre']","[[], []]","[None, None]"
89,1052,"In terms of the food itself -- nothing special, we limited ourselves to several appetizers.","['food', 'appetizers']","[[], []]","['neutral', 'neutral']","['nothing', 'appetizers']","[['special'], ['several']]","[None, None]"
90,986,This little place definitely exceeded my expectations and you sure get a lot of food for your money.,"['food', 'money', 'place']","[[], [], []]","['positive', 'positive', 'conflict']","['place', 'expectations', 'food lot']","[['little', 'exceeded'], ['exceeded'], ['get']]","[None, None, None]"
91,1466,"Bagels are ok, but be sure not to make any special requests!",['Bagels'],[[]],['neutral'],"['Bagels', 'requests']","[['ok'], ['special', 'make']]","[None, None]"
92,870,The food was very expensive (we spent $160 for lunch for two) but extremely tasty.,"['food', 'lunch']","[[], []]","['conflict', 'negative']",['food'],[['expensive']],[None]
93,1757,Turned out there was full service upstairs and sat down.,['service'],[[]],['positive'],['service'],"[['full', 'was']]",[None]
94,96,"Order the panang duck, it's fantastic.",['panang duck'],[[]],['positive'],['panang duck'],[['Order']],[None]
95,719,But the thing that my wife and I hated was it was so loud and it felt like 'bar' or 'pub'.,"['bar', 'pub']","[[], []]","['negative', 'negative']","['thing', 'wife', 'pub bar']","[['was'], ['hated'], []]","[None, None, None]"
96,413,"The food is fresh, delicious, and reasonably priced.","['food', 'priced']","[[], []]","['positive', 'positive']",['food'],[['fresh']],[None]
97,20,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.","['food', 'atmosphere', 'service']","[[], [], []]","['positive', 'positive', 'positive']","['atmosphere food', 'service', 'downtown neighborhood', 'neighborhood spot', 'beat']","[['warm', 'incredible'], ['friendly'], [], ['miss'], ['miss']]","[None, None, None, None, None]"
98,682,The prices and ambience are especially great considering it's in the West Village.,"['prices', 'ambience']","[[], []]","['positive', 'positive']",['prices'],[['great']],[None]
99,1661,The space is nice but when we order our drink we were in for a surprise.,"['space', 'drink']","[[], []]","['positive', 'negative']","['space', 'drink']","[['nice'], ['order']]","[None, None]"
100,526,"For many people, this may not seem like Aunthentic Thai food because most places in NYC arent quite authentic.",['Thai food'],[[]],['negative'],['people'],[['many']],[None]
101,312,"The music does get a little loud at times, but it just made me want to lean closer to my beautiful wife, and as I did, I got a whiff of corriander.","['music', 'corriander']","[[], []]","['conflict', 'neutral']","['music', 'wife', 'corriander whiff']","[['get'], ['beautiful'], ['got']]","[None, None, None]"
102,1272,and you can't beat the prices.,['prices'],[[]],['positive'],['prices'],[['beat']],[None]
103,378,"The food is o.k., but not any better than what you get at a good neighborhood restaurant.",['food'],[[]],['neutral'],"['food', 'neighborhood restaurant']","[['o.k.'], ['good']]","[None, None]"
104,1202,"The people with carts of food don't understand you because they don't speak English, their job is to give you the delicious food you point at.","['food', 'people with carts of food']","[[], []]","['positive', 'negative']","['people', 'English', 'job', 'food']","[['understand'], ['speak'], ['is'], ['delicious', 'give']]","[None, None, None, None]"
105,375,"The Pad Thai is excellent here, as well.",['Pad Thai'],[[]],['positive'],[],[],[]
106,420,The food options rule.,['food options'],[[]],['positive'],['options'],[['rule']],[None]
107,223,Staff is very accomodating.,['Staff'],[[]],['positive'],['Staff'],[['accomodating']],[None]
108,919,Went on a double date with friend and his girlfriend for a few drinks and appetizers.,"['drinks', 'appetizers']","[[], []]","['neutral', 'neutral']","['friend date', 'girlfriend friend', 'drinks']","[['double'], [], ['few']]","[None, None, None]"
109,1807,"The staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often.","['staff', 'bathroom']","[[], []]","['conflict', 'negative']","['staff', 'bathroom']","[['nice'], ['unisex', 'needs']]","[None, None]"
110,1138,"My GF and I still choose to eat there a lot because of diverse cocktails, the chill decor, and the decent sushi.","['cocktails', 'decor', 'sushi']","[[], [], []]","['positive', 'positive', 'positive']","['GF', 'lot', 'cocktails', 'chill decor', 'sushi']","[['choose'], ['eat'], ['diverse'], [], ['decent']]","[None, None, None, None, None]"
111,1635,I won't go back unless someone else is footing the bill.,['bill'],[[]],['negative'],"['someone', 'bill']","[['footing', 'else'], ['footing']]","[None, None]"
112,112,"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away.",['chinese food'],[[]],['positive'],"['food', 'Wu']","[['great', 'chinese'], ['have']]","[None, None]"
113,359,He offers subpar service and has no personality.,['service'],[[]],['negative'],"['service', 'personality']","[['subpar', 'offers'], ['has']]","[None, None]"
114,431,Check out the secret back room.,['secret back room'],[[]],['positive'],"['secret room', 'back room']","[['Check'], ['Check']]","[None, None]"
115,769,In reality (to maximize potential diners) they were still taking phone reservations and reallocating tables of those waiting in the lobby.,"['diners', 'reservations', 'tables', 'lobby', 'waiting']","[[], [], [], [], []]","['neutral', 'negative', 'negative', 'neutral', 'negative']","['diners', 'reservations', 'tables']","[['potential', 'maximize'], ['taking'], ['reallocating']]","[None, None, None]"
116,1721,I ordered a Lassi and asked 4 times for it but never got it.,['Lassi'],[[]],['neutral'],"['Lassi', 'times']","[['ordered'], ['asked']]","[None, None]"
117,314,It's simply the best meal in NYC.,['meal'],[[]],['positive'],['meal'],[['best']],[None]
118,288,The food was so-so.,['food'],[[]],['neutral'],[],[],[]
119,1523,"I have been a longtime fan of Holy Basil in the East Village, and while I do believe their food has slightly slipped in quality, I have been hesitant to be disloyal.","['food', 'quality']","[[], []]","['negative', 'negative']","['fan', 'food']","[['longtime', 'hesitant'], ['slipped']]","[None, None]"
120,563,Be careful of portions - they're HUGE.,['portions'],[[]],['positive'],[],[],[]
121,1199,The food was absolutely horrible!,['food'],[[]],['negative'],['food'],[['horrible']],[None]
122,439,By far this is the only chinese desserts place I know in NY or anywhere close in the Northeastern America that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar.,"['pig feet ginger simmered in black vinegar', 'desserts with frog jelly']","[[], []]","['positive', 'positive']","['place', 'desserts', 'vinegar']","[['only', 'chinese'], ['serves'], ['black']]","[None, None, None]"
123,1864,"both are very reasonably priced (around $8 for dinner and $5 for lunch), and are delicious and filling.","['priced', 'dinner', 'lunch']","[[], [], []]","['positive', 'positive', 'positive']",[],[],[]
124,1669,"Try the Pad Thai, it's fabulous and their prices are so cheap!","['Pad Thai', 'prices']","[[], []]","['positive', 'positive']",['Pad'],[['Try']],[None]
125,673,Beef noodle soup is good as well.,['Beef noodle soup'],[[]],['positive'],"['Beef noodle', 'noodle soup']","[[], ['good']]","[None, None]"
126,699,"The owner is very friendly and a great guy, go try his pizza, you'll like it!","['owner', 'pizza']","[[], []]","['positive', 'positive']","['owner', 'guy', 'pizza']","[['friendly'], ['great'], ['try']]","[None, None, None]"
127,351,The people that work there are always so friendly you forget you are in New York sometimes.,['people'],[[]],['positive'],['people'],[['friendly']],[None]
128,1667,"Food was very good, but not what I would consider out of this world.",['Food'],[[]],['positive'],['Food'],[['good']],[None]
129,1751,"My husband and I both ordered the Steak, medium.",['Steak'],[[]],['neutral'],"['husband', 'Steak', 'medium']","[['ordered'], ['ordered'], ['ordered']]","[None, None, None]"
130,18,"Best of all is the warm vibe, the owner is super friendly and service is fast.","['vibe', 'owner', 'service']","[[], [], []]","['positive', 'positive', 'positive']","['vibe', 'owner', 'service']","[['warm'], ['friendly'], ['fast']]","[None, None, None]"
131,1600,"The bagels always warm, soft on the inside, crispy on the outside and enormous in size.",['bagels'],[[]],['positive'],['bagels'],[['warm']],[None]
132,1237,"Cute place, nice wait staff but would never go there again.","['wait staff', 'place']","[[], []]","['positive', 'positive']","['wait staff', 'staff place']","[['nice'], ['nice', 'Cute']]","[None, None]"
133,594,"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.","['meal', 'server', 'wine', 'wine', 'price range', 'priced']","[[], [], [], [], [], []]","['positive', 'positive', 'positive', 'negative', 'positive', 'neutral']","['meal', 'server', 'price range', 'range wine']","[['terrific', 'had'], ['guided'], [], ['nice', 'priced', 'purchase']]","[None, None, None, None]"
134,573,"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.","['Barbecued codfish', 'seasoning', 'texture', 'spice rub', 'herb mix', 'sauce']","[[], [], [], [], [], []]","['positive', 'negative', 'conflict', 'negative', 'negative', 'negative']","['codfish', 'texture', 'seasoning', 'spice rub', 'herb mix', 'sauce mix']","[['Barbecued', 'moist'], ['fabulous'], ['bland'], ['overwhelmed'], ['done'], ['other', 'done']]","[None, None, None, None, None, None]"
135,1873,"I wasn't thrilled to have to wait on line for thirty minutes, but I guess that's the price you pay for a popular place.",['wait'],[[]],['negative'],['place'],[['popular']],[None]
136,805,"The food inludes famous scrumptious bombay style chaat such as bhelpuri, sevpuri and samosa chaats, as well as other great indian appetizers.","['food', 'bhelpuri', 'sevpuri', 'samosa chaats', 'indian appetizers', 'bombay style chaat']","[[], [], [], [], [], []]","['positive', 'positive', 'positive', 'positive', 'positive', 'positive']","['food', 'bombay chaat', 'style chaat', 'bhelpuri chaat', 'sevpuri bhelpuri', 'chaats bhelpuri', 'appetizers bhelpuri']","[['inludes'], ['famous', 'scrumptious', 'inludes'], ['famous', 'scrumptious', 'inludes'], ['famous', 'scrumptious', 'inludes'], [], [], ['other', 'great', 'indian']]","[None, None, None, None, None, None, None]"
137,529,The scallion pancakes and fried dumplings were nothing out of the ordinary.,"['scallion pancakes', 'fried dumplings']","[[], []]","['neutral', 'neutral']",['dumplings'],[['fried']],[None]
138,1771,"My host asked for appetizers for the group and the waiter gave us not only what we ordered, but some other items that were not ordered.","['host', 'appetizers', 'waiter']","[[], [], []]","['neutral', 'neutral', 'neutral']","['host', 'waiter', 'items']","[['asked'], ['gave'], ['other']]","[None, None, None]"
139,1324,The aesthetics of this place are like an airport lounge.,"['aesthetics', 'place']","[[], []]","['negative', 'negative']",['airport lounge'],[[]],[None]
140,55,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",['food'],[[]],['positive'],"['food', 'restaurant everything']","[['outstanding'], ['else']]","[None, None]"
141,264,"The overall price tag was very very expensive, something I did expect.",['price tag'],[[]],['negative'],['price tag'],"[['overall', 'expensive']]",[None]
142,102,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.","['ingredients', 'ingredients', 'pizza', 'crust']","[[], [], [], []]","['positive', 'positive', 'negative', 'neutral']","['ingredients', 'pizza', 'someone', 'crust']","[['fancy', 'use', 'fancy', 'make'], ['good'], ['knows'], ['get']]","[None, None, None, None]"
143,276,The dim sum however was very good.,['dim sum'],[[]],['positive'],['sum'],"[['dim', 'good']]",[None]
