,ID,Sentence,Actual Aspect Terms,Actual Sentiment Terms,Actual Polarities,Generated Aspect Terms,Generated Sentiment Terms,Generated Polarities
12,390,"They said that my computer was covered on an extended warranty, and that products with  extended warranties are taken care of through third parties and not Sony itself anymore.","['extended warranty', 'extended warranties']","[[], []]","['neutral', 'neutral']","['warranty', 'warranties', 'care', 'parties']","[['extended'], ['extended'], ['taken'], ['third']]","[None, None, None, None]"
13,187,"Obviously one of the most important features of any computer is the ""human interface.","['features', 'human interface']","[[], []]","['neutral', 'neutral']","['features', 'interface']","[['important'], ['human']]","[None, None]"
14,502,my niece and nephew have played a few web games and it runs anything that doesn't require a dedicated video card.,['video card'],[[]],['neutral'],"['nephew niece', 'games', 'anything', 'video card']","[['played'], ['few', 'played'], ['runs'], ['dedicated', 'require']]","[None, None, None, None]"
15,673,I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,"['plastic piece', 'usb port wires']","[[], []]","['negative', 'neutral']","['problems', 'piece', 'wires']","[['major', 'had'], ['plastic', 'come'], ['covers']]","[None, None, None]"
16,1268,"My friend reports the notebook is astonishing in performance, picture quality, and ease of use.","['performance', 'picture quality', 'use']","[[], [], []]","['positive', 'positive', 'positive']","['friend', 'notebook', 'picture quality', 'quality performance', 'ease performance', 'use ease']","[['reports'], ['astonishing'], [], [], [], []]","[None, None, None, None, None, None]"
17,879,"Next, most Acer laptop fans are on the bottom which is right on your laptop.",['fans'],[[]],['neutral'],['fans'],[['are']],[None]
18,100,The keyboard feels good and I type just fine on it.,['keyboard'],[[]],['positive'],['keyboard'],[['feels']],[None]
19,5,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!","['features', 'iChat', 'Photobooth', 'garage band']","[[], [], [], []]","['positive', 'positive', 'positive', 'positive']","['teenage son', 'Photobooth iChat', 'garage band', 'band iChat']","[['got'], ['offers'], [], ['offers']]","[None, None, None, None]"
20,455,It is easy to go from one keyboard to another.,['keyboard'],[[]],['neutral'],[],[],[]
21,47,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,"['charger', 'hardware']","[[], []]","['negative', 'negative']","['charger', 'hardware', 'computer']","[['stopped'], ['new', 'buy'], ['keep']]","[None, None, None]"
22,1441,"It is a REAL touchpad, not the toy I saw in other brands.",['touchpad'],[[]],['positive'],"['toy touchpad', 'brands']","[['REAL'], ['other']]","[None, None]"
23,621,Memory is upgradable.,['Memory'],[[]],['positive'],['Memory'],[['upgradable']],[None]
24,983,This is a nicely sized laptop with lots of processing power and long battery life.,"['processing power', 'battery life', 'sized']","[[], [], []]","['positive', 'positive', 'positive']","['laptop', 'processing power', 'battery life', 'life power']","[['sized'], [], ['long'], ['long']]","[None, None, None, None]"
25,978,"while about 8 years ago, I hope that the quality has changed.",['quality'],[[]],['negative'],['quality'],[['changed']],[None]
26,286,"The image is great, and the soud is excelent.","['image', 'soud']","[[], []]","['positive', 'positive']","['image', 'soud']","[['great'], ['excelent']]","[None, None]"
27,1034,can't reinstall with standard os cd because of proprietary hardware drivers.,"['standard os cd', 'proprietary hardware drivers']","[[], []]","['negative', 'negative']","['os cd', 'drivers']","[['standard'], ['proprietary']]","[None, None]"
28,1166,Quality Display  I was surprised with the performance and quality of this HP Laptop.,"['Quality Display', 'performance', 'quality']","[[], [], []]","['positive', 'positive', 'positive']","['Quality Display', 'quality performance']","[[], []]","[None, None]"
29,598,I will never complain about the price since I believe you get what you pay for and my MacBook Pro was worth every dollar.,['price'],[[]],['conflict'],['Pro'],[['worth']],[None]
30,964,They also use two totally different operating systems.,['operating systems'],[[]],['neutral'],['systems'],"[['different', 'use']]",[None]
31,242,Loaded with bloatware.,['bloatware'],[[]],['neutral'],[],[],[]
32,1076,"It was not clear that the Microsoft Student Edition that was loaded on the computer, was a six month trial.",['Microsoft Student Edition'],[[]],['negative'],['month trial'],[[]],[None]
33,644,Other than that its a great performing machine and well meets all my needs and more.,['performing'],[[]],['positive'],"['performing machine', 'needs']","[['great', 'meets'], ['meets']]","[None, None]"
34,114,"One drawback, I wish the keys were backlit.",['keys'],[[]],['negative'],['keys'],[['backlit']],[None]
35,501,"I bought a Logitech desktop set in anticipation for using with the MBP, but I use the touchpad 90% of the time.",['touchpad'],[[]],['positive'],"['desktop', 'touchpad', 'time %']","[['bought'], ['use'], ['use']]","[None, None, None]"
36,52,Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,['warrenty'],[[]],['negative'],['Toshiba'],[['Purchased']],[None]
37,869,Asus facial recognition doesn't work and windows logon isn't either.,"['facial recognition', 'windows logon']","[[], []]","['negative', 'negative']",['recognition'],"[['facial', 'work']]",[None]
38,830,It just works flawlessly!,['works'],[[]],['positive'],[],[],[]
39,849,Returned laptop for a 3rd repair and it came back with previous problems fixed (except for speaker grill) but the unit started locking up during use and eventually would not operate at all.,['speaker grill'],[[]],['negative'],"['laptop', 'repair', 'problems', 'speaker grill', 'unit']","[['Returned'], ['3rd'], ['previous'], [], ['started']]","[None, None, None, None, None]"
40,327," A coupla months later, they change my hard drive.",['hard drive'],[[]],['negative'],['drive'],"[['hard', 'change']]",[None]
41,1322,The resolution is even higher then any other laptop on the market.,['resolution'],[[]],['positive'],"['resolution', 'market laptop']","[['higher'], ['other']]","[None, None]"
42,1062,The iLife software that comes with the computer is so simple to use and produces a great finished product.,"['iLife software', 'use']","[[], []]","['positive', 'positive']","['Life software', 'product']","[['simple'], ['great', 'finished', 'produces']]","[None, None]"
43,1140,"I have in the past gotten superfine sandpaper and ""fixed"" the edges by rounding them off.",['edges'],[[]],['negative'],"['superfine sandpaper', 'edges']","[['past', 'gotten'], ['fixed']]","[None, None]"
44,573,lots of extra space but the keyboard is ridiculously small.,"['space', 'keyboard']","[[], []]","['positive', 'negative']","['space', 'keyboard', 'lots']","[['extra'], ['small'], ['small']]","[None, None, None]"
45,1233,"There are no gold key numbers too intall programs, you must use the serial numbers that it does not accept and then things are limited as far a working because they are only good for a short time.",['programs'],[[]],['negative'],"['numbers', 'programs', 'time']","[['gold', 'key', 'are', 'use'], ['intall', 'are'], ['short']]","[None, None, None]"
46,351,The price and features more than met my needs.,"['price', 'features']","[[], []]","['positive', 'positive']","['features price', 'needs']","[['more'], ['met']]","[None, None]"
47,588,great battery life.,['battery life'],[[]],['positive'],['battery life'],[['great']],[None]
48,364,"Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows.","['feature', 'Windows', 'games']","[[], [], []]","['positive', 'positive', 'neutral']","['games', 'feature', 'Windows']","[['online', 'playing'], ['is'], ['dualboot']]","[None, None, None]"
49,165,"For the not so good, I got the stock screen - which is VERY glossy.",['stock screen'],[[]],['negative'],['stock screen'],[['got']],[None]
50,1453,There is a backlit keyboard which is perfect for typing in the dark.,['backlit keyboard'],[[]],['positive'],['backlit keyboard'],[['is']],[None]
51,1316,Even though the computer is larger they did not make the keyboard larger.,['keyboard'],[[]],['negative'],"['computer', 'keyboard']","[['larger'], ['make']]","[None, None]"
52,1107,I'm learning the finger options for the mousepad that allow for quicker browsing of web pages.,"['mousepad', 'browsing']","[[], []]","['positive', 'positive']","['options', 'browsing']","[['learning'], ['quicker']]","[None, None]"
53,341,"The 17 inch screen is very large, but the computer is very light.",['17 inch screen'],[[]],['negative'],"['inch screen', 'computer']","[['large'], ['light']]","[None, None]"
54,279,"I am overall very pleased with my toshiba satellite, I like the extra features, I love the windows 7 home premium.","['extra features', 'windows 7 home premium']","[[], []]","['positive', 'positive']","['toshiba satellite', 'features', 'windows', 'home premium']","[[], ['extra', 'like'], ['love'], ['love']]","[None, None, None, None]"
55,1206,I regret buying it before understanding how awful it is to use.,['use'],[[]],['negative'],[],[],[]
56,493,It has a .1 ghz faster processor and a stock 500gb hard drive.,"['processor', '500gb hard drive']","[[], []]","['positive', 'positive']","['stock drive', 'gb drive', 'drive processor']","[['hard'], ['hard'], ['hard', 'faster', 'has']]","[None, None, None]"
57,1463,Was very much worth the price i paid.,['price'],[[]],['positive'],[],[],[]
58,21,"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.",['service'],[[]],['negative'],"['dollars', 'help']","[['several', 'paying'], ['get']]","[None, None]"
59,982,Sound card is limited though.,['Sound card'],[[]],['negative'],['Sound card'],[[]],[None]
60,929,"When I got my laptop back after this first instance it worked okay for a little bit then I started expeirencing issues again, everything from programs and drivers failing again, to it powering off for no reason, to locking up and freezing and just all sorts of issues.","['programs', 'drivers']","[[], []]","['negative', 'negative']","['laptop', 'instance', 'bit', 'issues', 'sorts']","[['got'], ['first'], ['little'], ['expeirencing'], ['freezing']]","[None, None, None, None, None]"
61,1385,"Overall : Poor, Features: Average, Performance: Poor, Battery Life: Excellent, Price-Value: Poor","['Features', 'Performance', 'Battery Life', 'Price', 'Value']","[[], [], [], [], []]","['neutral', 'negative', 'positive', 'negative', 'negative']",[],[],[]
62,508,Then the hard drive failed;,['hard drive'],[[]],['negative'],['drive'],"[['hard', 'failed']]",[None]
63,264,"however, I may have inadvertently thrown out one of the batteries with the shipping carton.","['batteries', 'shipping carton']","[[], []]","['neutral', 'neutral']",['shipping carton'],[[]],[None]
64,842,"it might be something deep within Windows, for I was unable to create a disk image on my hard drive.","['Windows', 'hard drive', 'disk image']","[[], [], []]","['negative', 'negative', 'negative']","['something', 'disk image', 'drive']","[['deep'], ['create'], ['hard']]","[None, None, None]"
65,408,It doesnt work worth a damn.,['work'],[[]],['negative'],[],[],[]
66,1172,The ease of set up was terrific.,['set up'],[[]],['positive'],"['set up', 'up ease']","[[], ['terrific']]","[None, None]"
67,27,but now i have realized its a problem with this brand.,['brand'],[[]],['negative'],['brand problem'],[[]],[None]
68,1330,the graphics are awful and the wireless switch it at the top rather than the side which I am used to it being on the side.,"['graphics', 'wireless switch']","[[], []]","['negative', 'negative']","['graphics', 'wireless', 'side top']","[['awful'], ['switch'], []]","[None, None, None]"
69,253,"I gave it to my daughter because I just hated the screen, hated that it had no cd drive to at least play cd's when I wanted to listen to music and do schoolwork.","['screen', 'cd drive']","[[], []]","['negative', 'negative']","['screen', 'cd drive', 'play cd', 'schoolwork']","[['hated'], ['had'], [], ['do']]","[None, None, None, None]"
70,295,"Not to mention, the battery life is absolutely amazing.",['battery life'],[[]],['positive'],['battery life'],[['amazing']],[None]
71,886,After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.,"['hard drive', 'battery']","[[], []]","['neutral', 'negative']","['drive', 'battery']","[['hard', 'replacing'], ['stopped']]","[None, None]"
72,507,Its a good laptop for its value.,['value'],[[]],['positive'],['value laptop'],[['good']],[None]
73,519,"Small enough to use on a long flight, Light enough to carry through airports and powerful enough to replace my desktop while on long business trips.",['carry'],[[]],['positive'],"['flight', 'Light']","[['long'], ['enough']]","[None, None]"
74,1320,"I acually believe the issue is with the Nvidia grafics card, but still requires a return.",['Nvidia grafics card'],[[]],['negative'],['return'],[['requires']],[None]
75,1011,Battery is lasting about 6 hours as I am surfing the web on Sundays while checking football scores and watching funny Youtube videos.,"['Battery', 'surfing the web']","[[], []]","['neutral', 'neutral']","['Battery', 'hours', 'web', 'scores', 'videos']","[['lasting'], ['lasting'], ['surfing'], ['checking'], ['funny', 'watching']]","[None, None, None, None, None]"
76,766,But the arm velcro is torn after one use.,['arm velcro'],[[]],['negative'],['arm velcro'],[[]],[None]
77,1138,"Being a PC user my whole life, it's taking a bit of time to adapt to the OS of a Mac but I'm finding my way around.",['OS'],[[]],['neutral'],"['life', 'time bit', 'way']","[['whole'], ['taking'], ['finding']]","[None, None, None]"
78,557,"AND the best part is that it even comes with a free printer (when they have a certain promotion/offer going, of course)!",['printer'],[[]],['positive'],"['part', 'printer', 'offer promotion']","[['best', 'is'], ['free'], ['certain', 'have']]","[None, None, None]"
79,129,Is this partially due to the fact that it is running Windows Vista?,['Windows Vista'],[[]],['neutral'],['Vista'],[['running']],[None]
80,831,"Do you think I purposely ""destroy"" my netbook, so that I can demand a new set? Do you think it's fun to take public transport all the way to the service center and get a non-satisfactory solution? Or rather NO solution.",['service center'],[[]],['negative'],"['netbook', 'set']","[['destroy', 'public'], ['new', 'demand']]","[None, None]"
81,1377,The next time I had an issue my lightscribe wouldn't work.,['lightscribe'],[[]],['negative'],"['time', 'issue', 'lightscribe']","[['next'], ['had'], ['work']]","[None, None, None]"
82,944,Not easy to carry.,['carry'],[[]],['negative'],[],[],[]
83,432,Great wifi too.,['wifi'],[[]],['positive'],['wifi'],[['Great']],[None]
84,587,Sure it has the one touch keys but that was the best feature of the computer.,"['feature', 'one touch keys']","[[], []]","['conflict', 'positive']","['keys', 'computer feature']","[['has'], ['best']]","[None, None]"
85,922,"That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port.","['Sony Sonic Stage software', 'speakers', 'subwoofer', 'extended life battery', 'Docking port', 'bluetooth mouse', 'bluetooth enabled']","[[], [], [], [], [], [], []]","['neutral', 'positive', 'positive', 'neutral', 'neutral', 'neutral', 'negative']","['Stage software', 'bluetooth mouse', 'mouse software', 'bluetooth computer', 'computer mouse', 'life battery', 'battery computer', 'Docking port', 'port battery']","[['extra', 'included'], [], ['extra', 'included'], ['enabled'], ['enabled'], ['extended'], ['extended', 'enabled'], [], ['extended']]","[None, None, None, None, None, None, None, None, None]"
86,921,"After 2 months of complaints, Asus finally sent the right power supply to my techies.","['power supply', 'techies']","[[], []]","['neutral', 'neutral']",['Asus'],[['right']],[None]
87,1387,The graphics are stunning.,['graphics'],[[]],['positive'],['graphics'],[['stunning']],[None]
88,285,The online tutorial videos make it super easy to learn if you have always used a PC.,['online tutorial videos'],[[]],['positive'],"['videos', 'PC']","[['online', 'make'], ['used']]","[None, None]"
89,1219,The wheel that turns the volume up and down doesn't work in real time.,['wheel'],[[]],['negative'],"['wheel', 'volume', 'time']","[['work'], ['turns'], ['real']]","[None, None, None]"
90,379,The only thing that I don't like about my mac is that sometimes there are programs that I want to be able to run and I am not able to.,['programs'],[[]],['negative'],"['thing', 'programs']","[['only', 'is'], ['are']]","[None, None]"
91,329,They say sorry out of warranty.,['warranty'],[[]],['negative'],[],[],[]
92,582,"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.","['quality', 'performance', 'battery life']","[[], [], []]","['negative', 'negative', 'positive']","['quality', 'performance', 'battery life']","[['poor'], ['poor', 'had'], ['great', 'have']]","[None, None, None]"
93,651,the only down fall is that it has no cd drive but i found that they are very cheap to by and also very portable making this the best friend to someone who is always looking for more space then they have.,['cd drive'],[[]],['negative'],"['fall', 'cd drive', 'someone friend', 'space']","[['only', 'down', 'is'], ['has'], ['best'], ['more']]","[None, None, None, None]"
94,152,But the machine is awesome and iLife is great and I love Snow Leopard X.,"['iLife', 'Snow Leopard X']","[[], []]","['positive', 'positive']","['machine', 'Life', 'X.']","[['awesome'], ['great'], ['love']]","[None, None, None]"
95,28,I sent it back to Toshiba twice they covered it under the  warranty.,['warranty'],[[]],['positive'],[],[],[]
96,1286,"The battery life was supposed to be 6 hours, but even if I ran off the battery with the high effeciency setting the battery would only last me on average about 2.5 to 3 hours.","['battery life', 'battery', 'battery']","[[], [], []]","['negative', 'neutral', 'negative']","['battery life', 'effeciency']","[['setting', 'supposed'], ['high']]","[None, None]"
97,718,"Most everything is fine with this machine: speed, capacity, build.","['speed', 'capacity', 'build']","[[], [], []]","['positive', 'positive', 'positive']","['everything', 'capacity speed', 'build speed']","[['Most', 'fine'], [], []]","[None, None, None]"
98,681,This wiped out several programs that were installed on the computer when it was bought.,['programs'],[[]],['negative'],['programs'],"[['several', 'wiped']]",[None]
99,714,This is what I call a good after sales service.,['after sales service'],[[]],['positive'],[],[],[]
100,1110,I had to pay for the shipping!,['shipping'],[[]],['negative'],[],[],[]
101,1273,"The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail.",['resolution of the screen'],[[]],['negative'],"['thing', 'screen resolution']","[['only', 'is'], ['enough']]","[None, None]"
102,1175,The battery life is probably an hour at best.,['battery life'],[[]],['negative'],['battery life'],[[]],[None]
103,896,"That's very possible, but since they don't make Windows XP drivers for the sound card in this machine, I was stuck until Windows 7 came out.","['Windows XP drivers', 'sound card', 'Windows 7']","[[], [], []]","['negative', 'negative', 'positive']","['drivers', 'sound card', 'machine card', 'Windows']","[['make'], [], [], ['came']]","[None, None, None, None]"
104,109,"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.","['use', 'work']","[[], []]","['negative', 'negative']",[],[],[]
105,772,Vista is a nightmare.,['Vista'],[[]],['negative'],[],[],[]
106,532,10 hours of battery life is really something else....,['battery life'],[[]],['positive'],"['battery life', 'something']","[[], ['else']]","[None, None]"
107,1425,When I called Sony the Customer Service was Great.,['Customer Service'],[[]],['positive'],"['Sony', 'Customer Service']","[['called'], ['Great']]","[None, None]"
108,387,Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.,"['left mouse key', 'costed']","[[], []]","['negative', 'neutral']","['thing', 'mouse key']","[['is'], ['left', 'broke']]","[None, None]"
109,736,the manufacturer's warranty only covers replacement/repair of parts.,['warranty'],[[]],['negative'],"['warranty', 'repair replacement']","[['covers'], ['covers']]","[None, None]"
110,1070,Disappointing for such a lovely screen and at a reasonable price,"['screen', 'price']","[[], []]","['positive', 'positive']",['price screen'],"[['reasonable', 'lovely']]",[None]
111,790,Unless you need the Bluetooth 3.,['Bluetooth 3'],[[]],['neutral'],['Bluetooth'],[['need']],[None]
112,1402,Unless you want to be inconvenienced with a non working power supply which you can't find a replacement for because they made the attachment so small.,['power supply'],[[]],['negative'],"['power supply', 'replacement', 'attachment']","[[], ['find'], ['made']]","[None, None, None]"
113,928,also the keyboard does not liht up so unless your sitting in a room with some light you cant see anything and thats bad for me because my boyfriend tends to watch tv in the dark at night which leaves me with no way of seeing the keyboard.,"['keyboard', 'keyboard']","[[], []]","['negative', 'negative']","['keyboard', 'light room', 'anything', 'boyfriend', 'tv']","[['liht', 'seeing'], [], ['see'], ['tends'], ['watch']]","[None, None, None, None, None]"
114,355,All I will say now is that it was over two grand less expensive and so much better quality than my hunk of crap Vaio.,['quality'],[[]],['positive'],['hunk quality'],[['better']],[None]
115,1348,"The quality, engineering design and warranty are superior--covers damage from dropping the laptop.","['quality', 'engineering design', 'warranty']","[[], [], []]","['positive', 'positive', 'positive']","['engineering design', 'design quality', 'warranty quality', 'damage', 'laptop']","[[], ['superior'], ['superior'], ['covers'], ['dropping']]","[None, None, None, None, None]"
116,770,"The battery life is amazing, the versitility is outstanding.","['battery life', 'versitility']","[[], []]","['positive', 'positive']","['battery life', 'versitility']","[['amazing'], ['outstanding']]","[None, None]"
117,514,This is a great value for the money.,['value'],[[]],['positive'],['money value'],[['great']],[None]
118,986,The display is awesome.,['display'],[[]],['positive'],['display'],[['awesome']],[None]
119,1332,I guess he was the technical person.,['technical person'],[[]],['neutral'],['person'],[['technical']],[None]
120,362,"Even with virus protection, it always turned off when updates were needed and installed.","['virus protection', 'updates']","[[], []]","['negative', 'negative']",['virus protection'],[[]],[None]
121,620,"I don't have stupid pop up windows (even when I have pop ups blocked), I don't have to wait 5 minutes for a webpage to download, and best of all I can run all the web programming software I need to use all at once without slowing me down.","['pop up windows', 'web programming software', 'pop ups']","[[], [], []]","['positive', 'positive', 'neutral']","['windows', 'ups', 'minutes', 'web programming', 'programming software']","[['stupid', 'have'], ['have'], ['wait'], [], ['run']]","[None, None, None, None, None]"
122,1468,"Also, my sister got the exact same laptop (since they were so cheap) and after 8 months, the screen split in half just from everyday use.",['screen'],[[]],['negative'],"['sister', 'laptop', 'screen', 'everyday use']","[['got'], ['exact', 'same', 'got'], ['split'], []]","[None, None, None, None]"
123,384,Theres a built in camera with special effects- for video and photography.,['built in camera'],[[]],['positive'],"['camera', 'effects', 'photography video']","[['built', 's'], ['special'], []]","[None, None, None]"
124,1170,"Speakers don't get that loud, but good enough.",['Speakers'],[[]],['conflict'],['Speakers'],[['loud']],[None]
125,171,It seems they could have updated XP and done without creating Vista.,"['XP', 'Vista']","[[], []]","['positive', 'negative']","['XP', 'Vista']","[['updated'], ['creating']]","[None, None]"
126,1437,The screen gets smeary and dusty very quickly and it's very noticeable.,['screen'],[[]],['negative'],['screen'],[['smeary']],[None]
127,839,I will stack it up against laptops that cost twice as much any day.,['cost'],[[]],['conflict'],[],[],[]
128,413,The DVD burner broke after burning 3 DVD'd during that time!,['DVD burner'],[[]],['negative'],"['burner', 'DVD']","[['broke'], ['burning']]","[None, None]"
129,265,It is so much easier to use,['use'],[[]],['positive'],[],[],[]
130,771,"It is known as Safari, and if you are doing any website work, you should know that many hosting companies do not support it.",['Safari'],[[]],['neutral'],"['website work', 'companies']","[['doing'], ['many', 'support']]","[None, None]"
131,465,"Quality Display  I love HP,, it's the only computer/printer we will buy.",['Quality Display'],[[]],['positive'],"['Quality Display', 'HP', 'computer printer']","[[], ['love'], ['only']]","[None, None, None]"
132,416,Product support very poor as each phone call costs me long distan,['Product support'],[[]],['negative'],"['Product support', 'phone call']","[['poor'], ['costs']]","[None, None]"
133,919,"  The hard drive crashed as well, and I had to buy a new  power cord.","['hard drive', 'power cord']","[[], []]","['negative', 'negative']","['drive', 'power cord']","[['hard', 'crashed'], ['new', 'buy']]","[None, None]"
134,1237,"I use the computer to basically check emails, surf the web, print coupons and for my college papers.",['surf the web'],[[]],['neutral'],"['computer', 'emails', 'coupons']","[['use'], ['check'], ['print']]","[None, None, None]"
135,427,"I never had this kind of quality issue with Dell (not to say Dell is that great), not with a brand new laptop.",['quality'],[[]],['negative'],"['quality issue', 'issue kind', 'Dell', 'laptop']","[[], ['had'], ['great'], ['brand', 'new']]","[None, None, None, None]"
136,326,They sent it back with a huge crack in it and it still didn't work.,['work'],[[]],['negative'],['crack'],[['huge']],[None]
137,1371,"Also it is very good for college students who just need a reliable, easy to use computer.",['use'],[[]],['positive'],['computer'],[['use']],[None]
138,371,Came fully loaded - good.,['loaded'],[[]],['positive'],[],[],[]
139,1488,I would like to use a different operating system altogether.,['operating system'],[[]],['neutral'],['operating system'],"[['different', 'use']]",[None]
140,468,     First it burned or fused the power adapter plug.,['power adapter plug'],[[]],['negative'],"['power adapter', 'adapter plug']","[[], ['fused']]","[None, None]"
141,214,It does not even have the software to play a dvd now.,['software'],[[]],['negative'],"['software', 'dvd']","[['have'], ['play']]","[None, None]"
142,490,I find myself using the 10-key more than I thought I would.,['10-key'],[[]],['positive'],[],[],[]
143,309,DO NOT BUY GATEWAY COMPUTERS THEY ARE JUNK AND THE WARRANTY COMPANY IS HORRIBLE.,['WARRANTY COMPANY'],[[]],['negative'],"['COMPUTERS', 'WARRANTY COMPANY']","[['BUY'], ['HORRIBLE']]","[None, None]"
144,740,The battery life is great.,['battery life'],[[]],['positive'],['battery life'],[['great']],[None]
145,881,I got my MacBook Pro because I wanted to do all the stuff I need to do without worrying about the system quitting on me or freezing for a few minutes.,['system'],[[]],['neutral'],"['Pro', 'stuff', 'minutes']","[['got'], ['do'], ['few']]","[None, None, None]"
146,200,"It has far exceeded my expectations for power, storage, and abilitiy.","['power', 'storage', 'abilitiy']","[[], [], []]","['positive', 'positive', 'positive']","['expectations', 'storage power', 'abilitiy power']","[['exceeded'], [], []]","[None, None, None]"
147,814,They have developed excellent proprietary software for editing video and pictures and I'm looking forward to utilizing these tools on the regular.,['proprietary software'],[[]],['positive'],"['software', 'pictures video', 'tools']","[['excellent', 'proprietary', 'developed'], ['editing'], ['utilizing']]","[None, None, None]"
148,1325,"Laptop is advertised as a 15"" but the casing looks like that of a 17"".","['casing', '15""', '17""']","[[], [], []]","['negative', 'neutral', 'neutral']",['casing'],[['looks']],[None]
149,1117,Supplied software: The software that comes with this machine is greatly welcomed compared to what Windows comes with.,"['Supplied software', 'software', 'Windows']","[[], [], []]","['neutral', 'positive', 'negative']",['software'],[['Supplied']],[None]
150,1178,But sadly the replacement froze-up while updating the BIOS again and shut down and would not turn back on.,['BIOS'],[[]],['negative'],"['replacement', 'BIOS']","[['froze'], ['updating']]","[None, None]"
151,217,Sells for the same as a netbook without sacrificing size.,['size'],[[]],['positive'],['size'],[['sacrificing']],[None]
152,1199,"The ATI graphics card is a huge plus, definitely a good value if you need to be able to run some slightly older games that a Intel built-in card would have trouble with, such as Half-Life 2 or even World of Warcraft.","['ATI graphics card', 'Intel built-in card', 'games']","[[], [], []]","['positive', 'positive', 'neutral']","['plus', 'value', 'games', 'in card', 'Half trouble', 'Life Half', 'World Half']","[['huge'], ['good'], ['older', 'run'], ['built', 'have'], ['have'], [], []]","[None, None, None, None, None, None, None]"
153,254,It runs very quiet too which is a plus.,['runs'],[[]],['positive'],[],[],[]
154,153,"High price tag, however.",['price tag'],[[]],['negative'],['price tag'],[['High']],[None]
155,195,The video chat is the only thing that is iffy about it but im sure once they unpdate the next version on the macbook book the quality of it will be better.,"['video chat', 'quality']","[[], []]","['negative', 'conflict']","['video chat', 'thing', 'macbook book', 'book version', 'quality']","[[], ['only', 'sure'], [], ['next', 'unpdate'], ['better']]","[None, None, None, None, None]"
